iter	Accuracy	Logloss
591	0.9823477493	0.1582379309
592	0.9832303619	0.1578800327
593	0.9832303619	0.157494159
594	0.9832303619	0.1571465452
595	0.9832303619	0.1568265612
596	0.9832303619	0.1562126874
597	0.9832303619	0.1560251678
598	0.9832303619	0.155825037
599	0.9832303619	0.155648147
600	0.9841129744	0.1551800651
601	0.9841129744	0.1548664213
602	0.9841129744	0.154151457
603	0.9841129744	0.1539653593
604	0.9832303619	0.1537839345
605	0.9832303619	0.1536938568
606	0.9832303619	0.1534888187
607	0.9823477493	0.152932243
608	0.9823477493	0.1529121979
609	0.9841129744	0.152706786
610	0.9841129744	0.1524173899
611	0.9841129744	0.1523419653
612	0.9832303619	0.1522408738
613	0.9841129744	0.1518805947
614	0.9841129744	0.1517371745
615	0.9841129744	0.1513778571
616	0.9841129744	0.1512150949
617	0.9841129744	0.1510237249
618	0.9849955869	0.1504236801
619	0.9849955869	0.1501706455
620	0.9849955869	0.1500581485
621	0.9849955869	0.1500328336
622	0.9849955869	0.1498171109
623	0.9849955869	0.1495986966
624	0.9849955869	0.1494275228
625	0.9849955869	0.1493200411
626	0.9858781995	0.148989358
627	0.9858781995	0.1489005418
628	0.9858781995	0.1487927634
629	0.9858781995	0.1483838338
630	0.9858781995	0.1482033911
631	0.9858781995	0.1478531339
632	0.9858781995	0.1477569964
633	0.9858781995	0.1476108389
634	0.9858781995	0.147011606
635	0.9858781995	0.1468082532
636	0.9858781995	0.146279817
637	0.986760812	0.1460303815
638	0.986760812	0.1459453341
639	0.9858781995	0.1458040902
640	0.9858781995	0.1454350585
641	0.9858781995	0.1454168754
642	0.9858781995	0.1450144268
643	0.9858781995	0.1448679784
644	0.9858781995	0.1447163484
645	0.9858781995	0.1446861496
646	0.986760812	0.1446162416
647	0.9858781995	0.1445327713
648	0.9858781995	0.1440370292
649	0.9858781995	0.1436186808
650	0.986760812	0.1432937699
651	0.986760812	0.1431720518
652	0.9885260371	0.1429934329
653	0.9885260371	0.1429069744
654	0.9885260371	0.1426722755
655	0.9876434245	0.142279444
656	0.9876434245	0.1420701279
657	0.9876434245	0.1419502493
658	0.9885260371	0.1418129134
659	0.9885260371	0.1417623953
660	0.9876434245	0.1414946882
661	0.9876434245	0.1410360694
662	0.9876434245	0.1409453315
663	0.9876434245	0.1408132516
664	0.9885260371	0.1407276689
665	0.9885260371	0.140596365
666	0.9885260371	0.1404108476
667	0.9876434245	0.1401858446
668	0.9876434245	0.1399119016
669	0.9876434245	0.1397990855
670	0.9885260371	0.1395778616
671	0.9885260371	0.1394807809
672	0.9885260371	0.1391923355
673	0.9885260371	0.1390645352
674	0.9885260371	0.1390481001
675	0.9885260371	0.138867218
676	0.9885260371	0.1384342973
677	0.9885260371	0.1383260465
678	0.9885260371	0.1383054912
679	0.9885260371	0.1380922074
680	0.9894086496	0.1380184512
681	0.9894086496	0.1378349975
682	0.9885260371	0.1377479373
683	0.9902912621	0.1373441338
684	0.9894086496	0.137028103
685	0.9885260371	0.1369834146
686	0.9902912621	0.1366375549
687	0.9894086496	0.1364433279
688	0.9894086496	0.1361193769
689	0.9894086496	0.1358601241
