iter	Passed	Remaining
850	4993	874
851	4997	868
852	5002	862
853	5006	855
854	5011	849
855	5016	843
856	5021	837
857	5026	831
858	5031	825
859	5036	819
860	5040	813
861	5045	807
862	5050	801
863	5054	795
864	5058	789
865	5063	783
866	5069	777
867	5074	771
868	5079	765
869	5084	759
870	5089	753
871	5094	747
872	5098	741
873	5103	735
874	5108	729
875	5128	725
876	5136	720
877	5141	714
878	5146	708
879	5152	702
880	5157	696
881	5161	690
882	5166	684
883	5174	678
884	5178	672
885	5184	667
886	5190	661
887	5196	655
888	5205	649
889	5211	644
890	5218	638
891	5225	632
892	5231	626
893	5238	621
894	5243	615
895	5249	609
896	5260	604
897	5267	598
898	5278	593
899	5290	587
900	5297	582
901	5305	576
902	5312	570
903	5322	565
904	5327	559
905	5333	553
906	5338	547
907	5343	541
908	5348	535
909	5353	529
910	5358	523
911	5362	517
912	5367	511
913	5373	505
914	5379	499
915	5385	493
916	5390	487
917	5396	481
918	5402	476
919	5407	470
920	5412	464
921	5418	458
922	5423	452
923	5428	446
924	5432	440
925	5437	434
926	5441	428
927	5445	422
928	5450	416
929	5455	410
930	5459	404
931	5464	398
932	5468	392
933	5474	386
934	5479	380
935	5484	375
936	5489	369
937	5493	363
938	5498	357
939	5503	351
940	5508	345
941	5512	339
942	5517	333
943	5522	327
944	5526	321
945	5531	315
946	5535	309
947	5540	303
948	5545	297
949	5550	292
950	5554	286
951	5558	280
952	5563	274
953	5567	268
954	5572	262
955	5577	256
956	5582	250
957	5587	244
958	5592	239
959	5597	233
960	5601	227
961	5606	221
962	5611	215
963	5616	209
964	5621	203
965	5627	198
966	5632	192
967	5637	186
968	5642	180
969	5646	174
970	5650	168
971	5655	162
972	5659	157
973	5664	151
974	5668	145
975	5675	139
976	5680	133
977	5686	127
978	5691	122
979	5701	116
980	5707	110
981	5714	104
982	5720	98
983	5728	93
984	5734	87
985	5740	81
986	5751	75
987	5756	69
988	5762	64
989	5771	58
990	5779	52
991	5784	46
992	5801	40
993	5808	35
994	5813	29
995	5820	23
996	5828	17
997	5835	11
998	5843	5
999	5850	0
